"","mavgs","lags","sdcorr","meancorr","mediancorr"
"93","5","8",0.344041575916177,-0.0667642110256424,-0.153735538922571
"94","5","9",0.349297615988854,-0.0935978931937582,-0.145691164742061
"95","5","10",0.372059872805291,-0.0839851647852467,-0.0961714084879157
"96","5","11",0.411840498901637,-0.0651812270708816,-0.0817268611444815
"97","5","12",0.435046745534878,-0.076212199654681,-0.0923998995073885
"98","5","13",0.363667156673877,-0.0545840030732477,-0.0387648447867204
"99","5","14",0.388257299272433,-0.162548050003122,-0.151103245820901
"100","5","15",0.351373052106321,-0.249096394296228,-0.202598712856843
"101","5","16",0.252114408984707,-0.254987300862109,-0.307987537169291
"102","5","17",0.230271849355244,-0.278142474686052,-0.301711182184675
"103","5","18",0.281923223203667,-0.251339042401859,-0.30248197122636
"104","5","19",0.333850634571743,-0.211207702697981,-0.198190975632854
"105","5","20",0.382652740887166,-0.190422238208983,-0.155552549123335
"106","6","0",0.374739296812543,-0.0394076641004046,-0.136909106413644
"107","6","1",0.383281236152835,-0.0516694317977967,-0.118125226008367
"108","6","2",0.342485518539313,-0.0397296565992066,-0.0406507523422451
"109","6","3",0.28957999856025,-0.0339453603415525,0.00706402296294996
"110","6","4",0.308332697508254,-0.0215980342405272,0.047905832618958
"111","6","5",0.339301997852012,-0.02766386836353,-0.00902873742894062
"112","6","6",0.365892668496658,-0.0426197586901786,-0.0770869997116152
"113","6","7",0.39268664950956,-0.0683716030261761,-0.121729737893743
"114","6","8",0.392354603402318,-0.112572627949173,-0.158567331819804
"115","6","9",0.38744364916975,-0.0896948979767769,-0.0319849859946679
"116","6","10",0.423768466859105,-0.0762378893890145,-0.0795336124434887
"117","6","11",0.445828516009786,-0.0719582569162292,-0.112730468880483
"118","6","12",0.415301876407551,-0.106434810764092,-0.172018480012766
"119","6","13",0.361394128368781,-0.137231251003863,-0.143450440207959
"120","6","14",0.385397009662014,-0.243974759152997,-0.287889749661097
"121","6","15",0.357476151911144,-0.305932462390715,-0.2763883087292
"122","6","16",0.270684211622293,-0.26971953439756,-0.313013804358218
"123","6","17",0.29330560106353,-0.270601950084067,-0.385923733230793
"124","6","18",0.339906158869631,-0.269180285210504,-0.315689477653154
"125","6","19",0.388005931883513,-0.244313171821547,-0.278394303201906
"126","6","20",0.399943552125436,-0.250533727815939,-0.355968662981156
"127","7","0",0.396126452574356,-0.0673522445436186,-0.145246046076386
"128","7","1",0.3939285479402,-0.0587338783454607,-0.101097294396907
"129","7","2",0.368638435312214,-0.0595364614701919,-0.0706370141692969
"130","7","3",0.353470468387634,-0.0435042391103611,0.0434098223858193
"131","7","4",0.362014904018166,-0.0235158061369767,0.0512659682737877
"132","7","5",0.389643154183826,-0.0495077794044292,-0.0286046530778562
"133","7","6",0.409135650607954,-0.100748491169075,-0.159058772216267
"134","7","7",0.424519576323743,-0.11680365732824,-0.133731189105825
"135","7","8",0.415773881394865,-0.117342345915994,-0.116549029211152
"136","7","9",0.432622101069177,-0.0864031537732603,-0.0458746371483088
"137","7","10",0.446215945925782,-0.0818380604498648,-0.113271415346206
"138","7","11",0.425610625376476,-0.0976212759185143,-0.154062739154043
"139","7","12",0.404860523944146,-0.184840978894972,-0.27951081578214
"140","7","13",0.349300681647162,-0.21551954116021,-0.293332761075862
"141","7","14",0.375836512301956,-0.296497201910363,-0.346944714015443
"142","7","15",0.364434089624975,-0.317773642687817,-0.335234380548402
"143","7","16",0.328646690176335,-0.270023217072124,-0.359118304810336
"144","7","17",0.345804168375768,-0.297417798227309,-0.374468370872819
"145","7","18",0.396139612216863,-0.300604060275704,-0.415559703396243
"146","7","19",0.399916459519915,-0.291562800021192,-0.367634982289602
"147","7","20",0.40541864492051,-0.283299320212246,-0.407385097497442
"148","8","0",0.403314186601492,-0.050128880252842,-0.0808414634961871
"149","8","1",0.407630677811771,-0.0648637870430692,-0.147150604272442
"150","8","2",0.432690817948938,-0.0665453435004048,0.0205988419170967
"151","8","3",0.403386603807802,-0.0450243874027102,0.102817487180542
"152","8","4",0.40522632743281,-0.0389485749088351,0.0171021821897272
"153","8","5",0.426185597216986,-0.0913029893875389,-0.0487524183016517
"154","8","6",0.457132908052291,-0.115273775044809,-0.123270677563307
"155","8","7",0.456744184501921,-0.106526610643072,-0.0296233521682468
"156","8","8",0.476258339336479,-0.11170625150645,-0.0389133065892116
"157","8","9",0.465947901140879,-0.100411140989955,-0.119533815714877
"158","8","10",0.439009346621421,-0.122180910268779,-0.188394098886104
"159","8","11",0.423445277444981,-0.176505942173311,-0.184574895731158
"160","8","12",0.393767504169513,-0.238449830759819,-0.30716665699167
"161","8","13",0.347451926400041,-0.251629441363649,-0.299773621558273
"162","8","14",0.386801039376198,-0.287106480984483,-0.250312136465452
"163","8","15",0.407834622076419,-0.303318228052681,-0.366393296842866
"164","8","16",0.358344079785838,-0.285908972890212,-0.370182698709267
"165","8","17",0.378224914194899,-0.327176426261483,-0.404631166352833
"166","8","18",0.389082276293298,-0.354615293076949,-0.476242666135504
"167","8","19",0.380400351581552,-0.325636308479629,-0.350714571323792
"168","8","20",0.407175666795993,-0.311238927048292,-0.418828243195341
